"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","INFO","HTTP","",""
"pre_128cipher","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","OK","not offered","",""
"SSLv3","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","OK","not offered","",""
"TLS1","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","INFO","not offered","",""
"TLS1_1","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","INFO","not offered","",""
"TLS1_2","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","OK","offered","",""
"TLS1_3","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","INFO","not offered","",""
"cipherlist_NULL","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","INFO","not offered","",""
"cipherlist_STRONG_FS","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","OK","offered","",""
"cipher_order-tls1_2","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","OK","server","",""
"cipherorder_TLSv1_2","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","OK","server","",""
"FS","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","OK","offered","",""
"FS_ciphers","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","OK","prime256v1","",""
"TLS_extensions","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","INFO","yes","",""
"sessionresumption_ticket","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","INFO","not supported","",""
"sessionresumption_ID","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","INFO","supported","",""
"TLS_timestamp","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","INFO","random","",""
"cert_compression","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","INFO","N/A","",""
"clientAuth","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","INFO","none","",""
"cert_numbers","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","INFO","1","",""
"cert_signatureAlgorithm","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","OK","SHA256 with RSA","",""
"cert_keySize","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","ma-carqueiranne.mgcloud.fr/141.94.209.199","443","INFO","FC7DBF68260D5EC2140B4C19B9248462","",""
